Start IP,End IP,CIDR,Number of IPs
62.231.78.128,62.231.78.255,62.231.78.128/25,128
193.231.252.0,193.231.252.255,193.231.252.0/24,256
84.232.132.0,84.232.133.255,84.232.132.0/23,512
79.112.0.0,79.115.255.255,79.112.0.0/14,262144
5.13.124.0,5.13.127.255,5.13.124.0/22,1024
79.118.96.0,79.118.99.255,79.118.96.0/22,1024
84.232.152.0,84.232.159.255,84.232.152.0/21,2048
84.232.136.0,84.232.136.255,84.232.136.0/24,256
195.42.128.0,195.42.129.255,195.42.128.0/23,512
5.13.96.0,5.13.103.255,5.13.96.0/21,2048
82.137.20.0,82.137.23.255,82.137.20.0/22,1024
82.137.24.0,82.137.25.255,82.137.24.0/23,512
188.24.172.0,188.24.175.255,188.24.172.0/22,1024
82.137.16.0,82.137.19.255,82.137.16.0/22,1024
81.18.86.0,81.18.86.127,81.18.86.0/25,128
188.24.168.0,188.24.169.255,188.24.168.0/23,512
89.46.48.0,89.46.55.255,89.46.48.0/21,3072
89.46.56.0,89.46.59.255,89.46.56.0/22,3072
79.118.104.0,79.118.111.255,79.118.104.0/21,2048
5.15.220.0,5.15.223.255,5.15.220.0/22,1024
213.157.188.64,213.157.188.95,213.157.188.64/27,32
79.118.153.0,79.118.153.255,79.118.153.0/24,256
213.157.187.0,213.157.187.255,213.157.187.0/24,256
5.13.112.0,5.13.119.255,5.13.112.0/21,2048
79.118.136.0,79.118.143.255,79.118.136.0/21,2048
81.18.67.96,81.18.67.127,81.18.67.96/27,32
213.154.96.0,213.154.127.255,213.154.96.0/19,8192
213.157.180.0,213.157.183.255,213.157.180.0/22,1024
62.231.79.0,62.231.79.255,62.231.79.0/24,256
81.18.76.64,81.18.76.79,81.18.76.64/28,16
81.18.92.0,81.18.95.255,81.18.92.0/22,1024
62.231.64.0,62.231.67.255,62.231.64.0/22,1024
81.18.73.96,81.18.73.127,81.18.73.96/27,32
62.231.89.0,62.231.89.63,62.231.89.0/26,64
84.232.168.0,84.232.171.255,84.232.168.0/22,1024
79.118.32.0,79.118.63.255,79.118.32.0/19,8192
79.118.148.0,79.118.151.255,79.118.148.0/22,1024
79.118.80.0,79.118.95.255,79.118.80.0/20,4096
212.93.155.0,212.93.155.255,212.93.155.0/24,256
194.176.162.0,194.176.162.255,194.176.162.0/24,256
5.13.66.0,5.13.67.255,5.13.66.0/23,3584
5.13.68.0,5.13.71.255,5.13.68.0/22,3584
5.13.72.0,5.13.79.255,5.13.72.0/21,3584
5.15.212.0,5.15.215.255,5.15.212.0/22,1024
188.24.164.0,188.24.167.255,188.24.164.0/22,1024
188.24.176.0,188.24.191.255,188.24.176.0/20,4096
5.2.128.0,5.2.255.255,5.2.128.0/17,32768
84.232.217.0,84.232.217.255,84.232.217.0/24,1792
84.232.218.0,84.232.219.255,84.232.218.0/23,1792
84.232.220.0,84.232.223.255,84.232.220.0/22,1792
81.18.77.0,81.18.77.31,81.18.77.0/27,32
89.35.216.0,89.35.223.255,89.35.216.0/21,2048
84.232.173.0,84.232.173.255,84.232.173.0/24,256
84.232.144.0,84.232.145.255,84.232.144.0/23,512
79.118.64.0,79.118.71.255,79.118.64.0/21,2048
188.24.160.0,188.24.161.255,188.24.160.0/23,512
84.232.175.0,84.232.175.127,84.232.175.0/25,128
89.46.12.0,89.46.15.255,89.46.12.0/22,1024
62.231.75.0,62.231.75.255,62.231.75.0/24,256
212.93.153.192,212.93.153.255,212.93.153.192/26,64
212.93.154.0,212.93.154.255,212.93.154.0/24,256
62.231.125.0,62.231.125.255,62.231.125.0/24,256
188.24.162.0,188.24.163.255,188.24.162.0/23,512
212.93.153.128,212.93.153.191,212.93.153.128/26,64
62.231.91.192,62.231.91.255,62.231.91.192/26,64
46.102.0.0,46.102.63.255,46.102.0.0/18,24576
46.102.64.0,46.102.95.255,46.102.64.0/19,24576
82.137.32.0,82.137.63.255,82.137.32.0/19,8192
84.232.188.0,84.232.188.255,84.232.188.0/24,256
81.18.68.0,81.18.69.255,81.18.68.0/23,512
213.157.190.0,213.157.190.255,213.157.190.0/24,256
79.118.16.0,79.118.23.255,79.118.16.0/21,2048
62.231.110.0,62.231.110.255,62.231.110.0/24,256
212.93.145.0,212.93.145.255,212.93.145.0/24,256
82.137.4.128,82.137.4.255,82.137.4.128/25,128
84.232.214.0,84.232.214.255,84.232.214.0/24,256
81.18.81.0,81.18.81.255,81.18.81.0/24,256
79.119.90.0,79.119.91.255,79.119.90.0/23,512
81.18.86.160,81.18.86.191,81.18.86.160/27,32
212.93.132.0,212.93.135.255,212.93.132.0/22,1024
84.232.160.0,84.232.167.255,84.232.160.0/21,2048
62.231.88.0,62.231.88.255,62.231.88.0/24,256
79.118.192.0,79.118.255.255,79.118.192.0/18,16384
188.241.254.0,188.241.255.255,188.241.254.0/23,512
212.93.144.64,212.93.144.127,212.93.144.64/26,64
5.14.0.0,5.14.255.255,5.14.0.0/16,65536
213.157.188.128,213.157.188.255,213.157.188.128/25,128
62.231.87.0,62.231.87.255,62.231.87.0/24,256
84.232.216.0,84.232.216.255,84.232.216.0/24,256
213.157.178.144,213.157.178.159,213.157.178.144/28,16
31.14.224.0,31.14.227.255,31.14.224.0/22,1024
79.119.64.0,79.119.79.255,79.119.64.0/20,4096
79.118.160.0,79.118.191.255,79.118.160.0/19,8192
213.157.175.192,213.157.175.199,213.157.175.192/29,8
81.18.87.64,81.18.87.127,81.18.87.64/26,64
81.18.82.0,81.18.82.7,81.18.82.0/29,8
82.137.8.0,82.137.15.255,82.137.8.0/21,2048
86.105.206.0,86.105.207.255,86.105.206.0/23,512
188.24.170.0,188.24.171.255,188.24.170.0/23,512
213.157.184.0,213.157.184.255,213.157.184.0/24,256
81.18.64.0,81.18.65.255,81.18.64.0/23,512
84.232.128.0,84.232.131.255,84.232.128.0/22,1024
81.18.74.0,81.18.74.255,81.18.74.0/24,256
188.26.0.0,188.27.255.255,188.26.0.0/15,131072
62.231.95.0,62.231.95.255,62.231.95.0/24,256
79.119.192.0,79.119.207.255,79.119.192.0/20,4096
5.15.0.0,5.15.127.255,5.15.0.0/17,54272
5.15.128.0,5.15.191.255,5.15.128.0/18,54272
